100000 200000
96 98964 8307
14741 14742 348
13458 13459 887
13 98843 3999
18520 18521 667
9844 9845 103
28261 99380 7551
74 98843 5683
19055 88775 1723
35599 61961 2679
3835 3836 800
5498 34831 8214
42992 44080 7659
32054 32055 105
49989 95729 8110
77988 77989 748
54184 95211 7921
9544 9545 487
6343 7027 2112
67646 67647 68
75374 75375 413
38070 38071 129
97 98868 3429
69712 69713 677
53081 53082 229
70860 70861 22
74551 74552 78
69934 69935 576
183 98850 2338
80 98869 1445
49 98874 3985
61866 95851 1415
120 98873 3007
100 98959 1869
62230 83867 2149
17562 17563 375
18089 18090 275
13810 13811 151
54200 97100 9431
7461 7462 12
44035 44036 646
90323 90324 89
11 98899 9354
13808 13809 435
72 98883 5989
24014 24015 756
148 98968 5431
13429 13430 327
53231 53232 444
158 98833 5569
70321 98554 9782
3742 3743 310
18119 18120 817
25 98812 3134
44438 44439 396
65733 65734 824
111 98944 6113
75 98998 7437
9704 9705 530
29000 73555 1638
74055 74056 630
8796 41657 5095
5947 39540 9013
39361 39362 564
8593 8594 252
131 98937 9126
43007 43008 471
47438 47439 396
53962 53963 179
57189 57190 42
49620 49621 39
6255 6256 479
82148 82149 697
1771 1772 259
31190 66199 1248
76 98894 2124
52227 94447 1070
30108 93372 6598
7251 47525 7697
78409 78410 420
146 98844 8493
84257 84258 140
24238 24239 284
33244 33245 606
16065 29539 3598
711 712 6
3448 18789 9287
30791 36222 5907
12143 83146 3501
10543 57084 7488
86755 92799 2491
40864 40865 744
72254 72255 98
43832 87488 3383
59659 59660 32
169 98919 2538
21 98830 7511
32172 32173 7
51 98887 8592
52386 52387 46
68166 69071 5624
17775 17776 93
84066 84067 157
93779 93780 418
41975 41976 876
98838 98839 626
77033 88375 9311
56415 56416 49
47905 68089 5656
40087 40088 349
11789 94884 9485
105 98999 5063
74 98958 6385
20377 31797 1920
18709 44231 8813
41647 41648 809
62991 88384 8159
191 98817 6940
83809 83810 478
144 98896 3220
42201 94244 9711
82085 82086 151
57 98853 1864
45334 63322 3421
153 98982 6324
97608 99752 2227
32312 55297 3756
63206 63207 100
83883 83884 714
52242 91095 7652
33256 33257 185
52132 76103 3571
35821 35822 824
183 98999 6077
19 98894 3796
53133 53134 491
80 98976 6444
49 98999 1317
85533 85534 630
8436 8437 658
17223 17224 259
48434 48435 870
68160 68161 558
50985 82870 7552
10376 10377 842
37603 37604 620
64583 64584 213
69128 69129 528
33439 33440 565
148 98851 9144
47537 47538 851
39796 39797 67
62893 62894 14
2647 31497 1698
46297 46298 808
158 98972 9984
38367 95106 5506
63769 97845 1339
167 98902 5973
3 98801 9868
59887 59888 287
44187 71760 9681
5517 12175 7536
1596 1597 142
2407 77894 3209
94985 94986 319
84 98899 6739
106 98807 3852
14654 84022 5202
4811 4812 217
77910 77911 297
4945 4946 750
43817 43818 136
12314 12315 510
14605 14606 167
154 98817 3133
16909 16910 509
36290 36291 745
70296 70297 630
132 98988 4790
45395 45396 764
40934 40935 229
142 98941 3351
22396 33240 2999
33047 38943 7019
44368 44369 34
42140 42141 767
21267 73703 2271
13009 85889 4660
15039 77617 6063
177 98882 8247
146 98963 6062
51960 51961 826
24662 24663 8
59 98914 4878
10378 32745 5797
10629 79141 9696
344 99880 2834
70000 70001 510
92971 92972 158
85860 85861 593
23404 77465 9698
78 98861 9556
2360 94724 3742
29053 29054 523
83252 83253 710
30840 49741 1222
83400 93458 7016
30026 74144 5876
67355 67356 744
6466 38697 8258
7172 7173 279
6507 61408 9856
10731 77173 5548
24418 56549 8106
48183 48184 603
161 98945 9120
70994 70995 463
130 98928 8380
7622 7623 241
84149 84150 361
84839 84840 133
6942 44972 5189
35565 35566 499
18063 64764 6899
60285 60286 256
25122 25123 708
579 580 185
80077 80078 450
191 98954 5436
70983 73076 8203
69251 69252 651
71208 89048 5010
40284 40285 280
57 98994 7627
153 98867 4746
5 98866 6409
126 98928 5383
78687 78688 271
36583 98001 2667
3167 97818 7866
41230 87607 1197
72838 72839 868
136 98958 9721
44726 44727 104
156 98880 6950
84195 84196 232
83141 86696 8343
45408 45409 112
175 98901 3424
128 98828 3365
37193 37194 307
28855 89920 3111
41 98833 5058
17146 17147 379
8331 8332 671
110 98961 2801
53546 89470 6776
14477 14478 390
67789 67790 460
85063 85064 642
25285 25286 584
39077 64871 6060
25616 83191 7790
43513 43514 133
50124 99857 9419
602 603 775
3 98938 5088
315 316 646
32734 32735 614
34437 84158 8763
10454 10455 92
54447 54448 194
45092 45093 153
17878 26118 6746
150 98926 9576
7522 7523 134
159 98804 6691
88950 88951 180
50527 50528 10
69 98908 9632
42289 42290 220
154 98964 8818
77335 77336 699
27042 88321 5333
95 98843 7639
132 98839 6190
6 98808 2794
14767 14768 205
20856 94034 8679
151 98954 8435
93341 93342 83
6736 98142 2170
47 98901 2299
17239 69384 9377
23017 23018 809
26063 26064 124
33175 68432 3809
52866 52867 581
11866 11867 454
12237 87291 5332
50167 50168 219
5736 5737 632
27003 86382 3610
22061 22062 756
75291 75292 572
78 99000 7872
98668 98669 893
17728 79276 7959
83533 83534 805
138 98933 4077
70 98936 3136
15156 73491 5782
18915 19184 2440
43011 43012 25
38258 89581 9593
12491 58097 9578
24202 24203 572
45150 63626 8604
20011 98651 6759
73512 73513 368
32942 60294 2239
161 98846 7972
4258 52529 3713
2118 24424 2857
57816 57817 799
43 98910 3333
5780 5781 24
79263 79264 137
35 98910 1207
53721 53722 470
80 98825 4714
43246 85268 6182
18779 18780 45
68737 68738 69
51879 56629 3851
43357 43358 508
71593 75496 7526
17566 80299 3749
126 98815 3765
18194 80936 3653
58 98823 1768
70867 70868 680
33989 44674 7657
136 98873 4490
28585 28586 23
12076 30686 6623
13978 13979 299
74136 74137 206
14740 14741 587
10 98933 7394
7683 7684 639
62365 99842 5340
58248 58249 682
123 98880 9339
44706 44707 512
64 98857 2175
13827 13828 152
8831 8832 494
6415 86319 1259
881 882 485
110 98844 2097
18554 18555 875
75446 75447 359
31316 31317 206
75703 75704 725
85573 87981 3054
58173 58174 297
44513 44514 407
25243 25244 382
17470 70299 4405
103 98862 5609
140 98868 1956
58687 58688 642
45 98801 4532
15474 15475 597
26662 26663 716
159 98937 5670
63816 63817 596
78007 78008 587
53240 87691 3562
36355 82223 4130
56324 92115 4062
71285 71286 30
96231 96232 522
95 98956 4070
72344 84913 5173
27038 27039 308
10115 10116 409
11370 11371 345
151 98847 6939
63941 63942 131
46084 47983 3467
68080 72567 1844
3855 75199 9614
146 98813 4413
40 98952 4415
117 98918 1819
134 98906 6664
27355 50070 6239
28358 28359 158
83918 83919 598
13557 76384 7134
1036 1037 267
19769 97797 9275
174 98886 8627
59972 59973 350
35066 52427 7704
45872 76903 5888
55246 55247 425
28007 28008 234
79 98895 8968
18921 63788 9998
18023 84361 5233
60960 60961 161
44702 72901 2295
90529 90530 82
38505 76326 1834
23942 58965 8233
76929 76930 802
31845 31846 29
31 98937 2944
123 98952 3831
34853 66359 9956
9107 9108 367
9609 9610 852
66 98920 2083
9921 24078 7568
15250 15251 741
149 98911 7184
175 98908 4448
53442 53443 35
19131 19132 541
54 98900 1442
199 98901 8660
87464 87465 3
115 98854 8162
1508 1509 632
9515 65820 5098
18984 22379 1900
22027 22028 204
95314 95315 782
58 98954 4470
8183 8184 206
1258 1259 831
72400 72401 871
54136 54137 327
65135 65136 666
158 98933 2438
54626 54627 496
145 98858 5291
37770 37771 277
10 98808 3558
118 98889 2775
42142 55088 1522
31265 66205 2578
127 98965 4929
9639 9640 259
45272 45273 349
29265 29266 159
71189 84404 1141
14361 27666 1160
47860 95680 2983
50560 95083 8071
137 98884 5307
2431 77785 4671
64666 64667 273
33 98987 4613
11947 11948 786
3200 3201 784
24 98937 7132
21504 99040 1407
42 98891 1020
60661 60662 530
119 98859 5268
70137 70138 251
72725 72726 204
65285 65286 45
26473 44676 4561
56456 59313 7001
88391 88392 498
69173 95693 5378
102 98958 9473
103 98979 1682
36260 36261 530
1405 62206 1837
55111 55112 13
63179 70359 6643
42840 78360 2844
47805 54158 5066
73219 73220 469
189 98939 4637
59992 59993 351
22201 38800 3661
48 98981 7422
20084 20085 39
125 98889 2520
12772 57841 7140
94 98856 3887
28225 29103 1897
26457 26458 429
53570 73055 2140
22009 58294 2723
65403 65404 431
51393 51394 1
41090 41091 107
8430 12516 3130
87 98914 9593
64128 64129 556
24171 71899 1891
29901 99464 7828
46790 46791 400
1894 70330 9860
78291 78292 337
86143 86144 168
73569 73570 855
143 98989 5514
88346 88347 259
36473 36474 347
21517 21518 486
54599 54600 187
37761 99503 5654
34233 34234 887
50668 50669 504
20766 79594 4534
41937 41938 842
25699 79639 4672
4091 4092 49
37600 37601 690
39291 47508 2827
41583 98169 1709
30620 30621 707
36405 90812 7676
79424 92763 8810
62 98833 3704
123 98821 3738
57696 57697 536
58769 58770 580
24710 24711 184
34431 64434 5768
5300 5301 871
36471 36472 267
33305 33306 414
41917 41918 538
9574 42562 5150
40121 97142 2572
54 98979 4180
53888 53889 604
64440 64441 479
44061 44062 596
63 98995 6721
4380 63223 5574
27 98937 1201
55834 59228 5374
3804 5922 7727
127 98909 4605
69493 96906 3476
6959 24423 8341
40626 40840 3004
97 98813 2886
35164 85753 7337
67345 67346 210
38095 87796 6379
50659 65879 4510
10552 20345 5633
46620 75330 5116
50 98844 6086
68365 94553 1997
11410 11411 2
127 98846 2869
10307 10308 221
133 98915 5025
36172 88213 8674
5482 5483 896
4011 44715 6834
61866 82696 9523
15930 59127 7930
91 98809 1035
38 98976 6872
55202 55203 702
2 98890 3588
87363 87364 563
57016 57017 24
52882 64626 7022
69847 95611 8711
30864 88941 8369
64475 71715 3563
34497 34498 110
10518 10519 205
16070 16071 441
63980 63981 272
26751 26752 333
197 98958 9446
21621 62153 1083
791 35636 1415
23554 23555 237
25 98869 8371
102 98821 3032
43995 93408 9072
14513 14514 248
25062 66793 4003
80781 90882 7023
70152 81516 7183
6812 43748 7863
10243 10244 395
69003 69004 28
28178 28179 553
8146 24039 4372
25434 25435 766
45801 55681 3019
68732 68733 90
17 98983 7834
50893 50894 519
94855 94856 462
11660 41158 2304
56569 56570 665
24504 27871 1485
26930 26931 785
36 98836 8320
80125 80126 556
107 98873 4138
173 98989 7117
17358 23580 6377
22052 22053 228
69479 89112 9402
66651 72563 4884
78690 78691 432
76 98922 7657
28128 28129 660
21745 21746 174
23951 73595 3947
143 98870 5488
17243 39521 5370
3917 74409 2507
135 98950 5147
109 98941 1513
19424 79593 5006
23856 91665 1569
22684 73131 1249
85679 85680 820
166 98911 8845
30434 42932 1580
35369 35370 802
62 98972 4624
22398 22399 271
64806 64807 234
71 98902 8718
45611 45612 680
83617 83618 216
79061 86873 5549
37421 37422 63
22171 22172 549
15820 27731 2662
24960 24961 160
23044 41132 8278
50186 50187 819
83338 83339 752
63 98852 4408
63209 93897 1453
141 98886 6933
68067 93087 3313
57520 57521 278
88113 96822 7670
13667 19300 2545
44991 44992 743
194 98852 2580
46144 50012 9713
44417 44418 850
5245 14865 9198
15 98870 8221
107 98865 6250
41286 41287 878
22692 29331 5193
11039 25900 5261
7276 7277 273
14655 14656 870
83640 83641 608
57596 57597 200
50 98963 5511
20386 38713 3878
21736 21737 349
52702 52703 640
36666 36667 230
18970 55668 4911
53034 53035 691
9164 9165 6
41565 41566 627
128 98808 5723
38 98911 1915
30063 93055 4249
77545 77546 717
99 98911 5488
28011 80276 5682
122 98980 7418
29643 29644 65
54595 88901 7029
22208 22209 294
36201 36202 498
64709 76298 7221
66829 66830 753
22919 74610 6531
29369 29370 696
85876 85877 691
129 98931 2090
61 98936 4142
53836 53837 545
25 98946 3185
87666 87667 602
86779 86780 774
198 98867 7865
34 98992 2456
52566 52567 592
555 67874 4648
192 98936 7420
7464 7465 364
48034 48035 245
181 98992 3231
9472 9473 809
9590 18336 6559
62880 62881 763
15742 96363 8949
35728 84487 8532
35299 35300 717
52522 52523 556
97996 97997 508
41195 41196 681
35418 88709 2795
26 98914 7009
21240 21241 284
5808 9590 8732
55391 92727 6304
36 98975 7754
21659 21660 163
81648 81649 275
173 98850 9450
49963 64517 4951
4381 4382 75
14368 23342 9780
54080 54081 577
52073 52074 266
25712 25713 309
200 98868 3646
81907 81908 560
87024 87025 756
17118 98475 9534
23715 88450 5665
58029 58030 787
135 98939 1852
45466 45467 850
196 98939 6969
32 98828 8602
37037 37038 176
1 98931 7319
58978 58979 242
25710 73582 5981
21 98858 5046
49776 62419 3152
101 98978 7254
34660 70656 3090
84909 84910 526
61930 61931 379
47030 47031 847
14689 93294 1903
16406 98244 1562
40136 40137 341
24 98986 2343
77249 77250 733
28240 76004 5827
69188 69189 659
37765 55314 6954
34080 34081 867
28158 96747 2629
171 98906 3304
23 98837 8747
58390 76541 9833
15403 15404 586
27741 27742 460
97035 97036 114
49137 49138 829
31798 56274 4273
46641 57292 3840
43054 49166 8883
73039 90771 6487
22675 22676 472
46 98888 1808
9363 25631 5720
5289 27662 7182
55 98954 1373
7869 16979 3517
24653 24654 795
7043 7044 723
31486 82880 4895
57848 67941 5233
18346 57774 7172
33777 51805 6607
40962 40963 471
43195 43196 753
60193 99445 1554
28443 28444 12
48999 49000 708
18345 75636 9437
46397 46398 515
84779 84780 871
18004 40991 5649
44465 69108 8992
29179 57488 9399
66654 93087 4093
11362 11363 278
31059 31060 504
28927 28928 529
57568 57569 875
38553 38554 750
178 98904 6352
30 98953 7837
16857 97913 3028
47480 47481 762
49455 49456 132
34 98887 8376
56 98803 5469
7674 11672 3350
63334 63335 846
43794 67645 3637
181 98821 5480
15794 97417 3803
22 98827 8531
43018 43019 528
68523 68524 26
1937 1938 211
106 98984 7959
37253 37254 858
79831 79832 773
14690 14691 783
20399 20400 181
69778 69779 127
37653 37654 24
5944 38168 9330
24276 24277 284
3540 60173 1405
120 98931 2640
9206 9207 819
40808 79991 1622
77445 77446 66
42131 42132 36
182 98927 7351
18 98948 8983
2869 6666 2680
176 98836 8122
28 98861 2690
59551 59552 780
13057 13058 377
55738 55739 569
81 98953 9259
152 98876 9235
26020 28993 2658
74 98986 9020
20118 92783 8338
32 98951 7659
6348 89238 2980
71897 71898 734
80237 85201 6458
8589 8590 846
84660 84661 422
101 98903 6993
40928 64092 6349
46645 85134 3602
179 98889 7362
54150 90024 4507
65688 92828 4942
221 222 246
78209 78221 3253
79983 81947 7812
7945 7946 430
36574 63089 5098
44920 50466 1011
6807 6808 564
41763 41764 506
68945 68946 820
43475 43476 631
24346 24347 252
124 98942 8038
46907 95829 3127
45453 45454 122
8024 8025 836
92684 92685 423
23 98990 2050
180 98863 8099
16 98872 9031
43643 43644 537
93497 95849 6549
79906 79907 216
16810 16811 232
68515 83523 7367
42921 43215 4728
58815 58816 549
26842 49405 5024
41973 45538 7595
134 98953 7191
20022 71429 2213
94664 94665 729
5650 5651 618
44669 44670 676
44511 44512 98
84401 84625 1223
53392 53393 505
26878 63617 1935
55 98847 8096
37724 37725 572
46908 80956 7718
25567 25568 692
77593 77594 562
36989 36990 130
6746 39941 5022
48494 98677 2000
11706 51488 9271
186 98893 9367
155 98870 2743
7 98857 6984
3745 3746 359
17949 17950 20
49891 61111 7874
60 98953 1944
25742 25743 126
43674 89831 3426
21044 75012 5065
18209 18210 313
39 98820 9367
51417 51418 498
20723 28563 8718
30519 69642 9495
39533 39534 544
51683 51684 60
87055 87056 270
63198 63199 108
2575 2576 867
37586 90849 3473
95570 95571 666
87558 87559 547
43049 64618 2248
20673 56165 1266
53 98911 1737
45 98847 9985
190 98904 6160
69766 69767 675
106 98847 6119
1203 3305 4748
24774 24775 756
33391 74039 4105
66804 66805 427
8100 35867 9150
89 98964 8806
49630 49631 60
61807 61808 536
120 98882 6070
69745 69746 89
77246 77247 628
87473 91676 5010
43911 64641 2268
43368 61334 9510
182 98810 2844
18 98939 1516
6407 6471 9977
46679 62542 8303
4286 4287 304
176 98959 2046
28 98976 4829
15442 40963 3635
35085 87931 8329
16904 74881 7733
185 98999 1982
112 98801 1597
165 98889 1789
81 98822 8752
83622 83623 91
11861 11862 769
80790 91148 7220
14394 61055 9656
23116 23117 61
14370 14865 2146
46841 63668 4487
3146 25146 2606
31158 50637 3578
59125 68780 2801
30334 44199 5399
65354 65355 888
16957 16958 24
188 98844 8126
82 98811 3873
104 98911 5788
2157 33009 1112
71063 87962 2869
7658 73399 4846
93 98969 7750
3680 72025 7167
9856 97469 5620
13350 58512 5472
84721 84722 551
50126 50127 477
62233 75135 7695
36915 36916 272
52627 52628 397
4249 4250 858
41349 41350 338
535 22254 6560
18306 82137 9694
180 98994 5901
16 98995 8884
35964 82854 1827
58347 72998 6554
7386 54386 7902
66722 79984 8183
25815 25816 396
49026 49027 664
85 98939 9908
34172 34173 691
696 16367 7412
163 98869 3153
52713 52714 565
27663 49437 3022
5758 5759 269
31834 31835 787
62005 64524 1966
5931 5932 319
557 558 810
20251 20252 13
60281 94476 7395
108 98898 9439
24467 55597 4157
95375 95376 461
155 98947 2239
7 98978 6396
195 98946 8416
83520 83521 56
60 98844 5665
99 98814 2315
11208 84359 6756
95700 98376 9925
31704 31705 698
11668 11669 100
61503 61504 430
24417 31336 5347
5887 34010 6274
114 98864 2973
62582 83613 6162
34374 34375 299
4955 4956 260
36888 36889 603
7756 94542 8724
170 98929 6345
14903 97779 4966
90085 90086 586
23218 23219 714
28367 98163 8293
128 98965 6426
45 98964 8022
81619 81620 742
82854 92497 3067
66016 66017 607
72801 72802 379
65160 65161 56
184 98972 1767
67605 67606 98
82053 90450 1020
49789 99925 8975
193 98898 6461
11445 64073 7012
59155 92217 3106
162 98819 8417
89 98913 8130
90382 90383 437
3323 3324 893
6 98960 5931
30044 30045 148
3687 64017 5476
10195 10196 247
6280 16234 3392
25980 47971 6368
49011 49012 445
65416 65417 264
74862 74863 375
16374 45962 7067
185 98876 3708
112 98924 7059
63584 63585 215
21081 21082 330
41876 41877 266
10246 10247 496
29 98931 6772
16755 16756 244
46196 60372 6879
90 98883 1674
9493 92328 4987
34808 34809 871
89892 89893 872
168 98877 3298
81463 85336 3996
12 98806 7992
74501 84868 4299
44042 80958 4663
34521 68465 3180
43051 43052 650
33968 65350 5769
84228 84229 25
188 98967 2740
2576 7848 2848
57577 94044 8706
17577 17578 163
113 98828 3909
21250 21251 135
27123 27124 562
26352 26353 110
40420 91576 1297
160 98907 5070
34989 34990 475
44635 44636 162
4 98884 9575
17026 79337 4006
4621 20229 1988
65 98898 9540
76204 76205 501
14390 28829 3174
55726 55727 334
45955 45956 839
36411 63437 6888
61984 61985 319
116 98903 2097
38748 63863 7058
52582 52583 680
17416 17417 361
172 98864 3943
39423 80099 3223
88 98827 2837
68 98913 7710
67521 67522 94
24977 24978 599
56865 79926 2944
66143 66144 51
36034 36035 591
79758 79759 432
23133 23134 878
80091 80092 42
94992 94993 432
195 98831 4823
46914 92829 8453
22726 22727 460
164 98886 7693
91 98990 4791
32460 32461 207
25494 25495 263
69 98895 7270
5336 17549 2299
19211 68501 6257
42967 42968 578
80328 80526 9263
93094 93095 314
61909 61910 829
